r,shooting_F,shooting_G,finite_difference_F,finite_difference_G,chebyshev_F,chebyshev_G
0.001,0.00022273409784800223,-1.473597994230126e-08,0.0,0.0,-0.0,-0.0
0.01100360144057623,0.0024508675166080404,-1.7842079665716254e-06,0.0,0.0,0.002452488191052794,-1.9752884080873366e-06
0.021007202881152463,0.004678952316107806,-6.5028956917511045e-06,0.0,0.0,0.004682029005823484,-6.383351556727971e-06
0.031010804321728695,0.006906944296888797,-1.4170630937896008e-05,0.006910388073010003,-1.5355456286201345e-05,0.006911475074814621,-1.6186161561174436e-05
0.041014405762304924,0.009134799261682107,-2.4787173776526062e-05,0.009139368468576891,-2.7631432545250848e-05,0.009140805183744853,-2.7189744432305933e-05
0.051018007202881153,0.011362473016291404,-3.835221255210122e-05,0.011368348864143781,-3.990740880430036e-05,0.011369783706572389,-4.183402091060722e-05
0.06102160864345739,0.013589921370475906,-5.486536385535044e-05,0.013596953281804266,-5.670385018494427e-05,0.013598762229399926,-5.647829738890851e-05
0.07102521008403362,0.01581710013883336,-7.432617249713472e-05,0.01582525326340154,-7.716059336001695e-05,0.01582746580919249,-7.421073164041731e-05
0.08102881152460985,0.018043965141682976,-9.673411148323478e-05,0.01805355324499882,-9.761733653508963e-05,0.018055365271177952,-0.00010097501009482209
0.09103241296518608,0.020270472205948326,-0.00012208858198977472,0.020281087856359743,-0.000124443123820345,0.020283264733163414,-0.00012773928854922683
0.1010360144057623,0.0224965771660402,-0.00015038891333974663,0.022508405178578796,-0.00015307708715361437,0.02251116419514888,-0.0001545035670036316
0.11103961584633854,0.0247222358647393,-0.0001816343629798989,0.024735715453108566,-0.0001817533804658652,0.024738214978138762,-0.00018575345076282088
0.12104321728691478,0.02694740415407903,-0.0002158241164593357,0.026961672371077692,-0.00021855823229878298,0.026964043939299423,-0.0002234611477908615
0.131046818727491,0.02917203789622771,-0.00025295728740677465,0.029187629289046814,-0.0002553630841317006,0.02918987290046008,-0.000261168844818902
0.14105042016806724,0.03139609296437153,-0.00029303291751233774,0.031413197919406395,-0.0002940578338551625,0.031415701861620744,-0.00029887654184694264
0.15105402160864345,0.03361952524359603,-0.0003360499765047129,0.03363747745844984,-0.0003390269299631417,0.0336415308227814,-0.0003365842388749831
0.1610576230492197,0.03584229063176917,-0.0003820073621359734,0.035861756997493284,-0.000383996026071121,0.035864823533873595,-0.00038604327861577545
